sku,name,description,price,quantity
WIDGET-001,Premium Widget Pro,High-quality widget for professional use,49.99,150
WIDGET-002,Basic Widget,Entry-level widget for beginners,19.99,500
GADGET-001,Smart Gadget X1,AI-powered smart gadget with voice control,199.99,75
GADGET-002,Portable Gadget Mini,Compact gadget for travel,79.99,200
TOOL-001,Multi-Tool Pro Kit,Complete toolkit with 50 pieces,89.99,100
TOOL-002,Precision Screwdriver Set,10-piece precision screwdriver set,24.99,300
ELEC-001,Wireless Charger Fast,15W fast wireless charging pad,34.99,250
ELEC-002,USB-C Hub 7-in-1,Multi-port USB-C hub with HDMI,54.99,180
ELEC-003,Bluetooth Speaker Mini,Portable Bluetooth speaker with bass boost,44.99,400
ACCS-001,Premium Phone Case,Protective case with card holder,29.99,600
ACCS-002,Screen Protector Glass,Tempered glass screen protector 3-pack,14.99,1000
ACCS-003,Laptop Stand Adjustable,Ergonomic aluminum laptop stand,49.99,120
HOME-001,Smart Light Bulb RGB,WiFi-enabled color changing bulb,22.99,350
HOME-002,Digital Kitchen Scale,Precision scale with tare function,19.99,200
HOME-003,Air Purifier Compact,HEPA filter air purifier for small rooms,79.99,90
SPORT-001,Fitness Tracker Band,Water-resistant fitness band with heart rate,59.99,175
SPORT-002,Yoga Mat Premium,Extra thick non-slip yoga mat,34.99,225
SPORT-003,Water Bottle Insulated,24oz stainless steel bottle,27.99,400
OFFICE-001,Ergonomic Mouse Wireless,Vertical ergonomic mouse,39.99,150
OFFICE-002,Mechanical Keyboard RGB,Full-size mechanical keyboard,89.99,100
